 written on 22Mar2022 at 20:10:06 
   2.82400000000000        2.82400000000000       0.000000000000000E+000
  0.000000000000000E+000   2.82400000000000        2.82400000000000     
   2.82400000000000       0.000000000000000E+000   2.82400000000000     
          16
          43
    3    3    3    3    1    3    3    1    1    3    1    1    1    3    3
    3    3    1    1    3    1    1    1    3    1    1    3    3    3    3
    1    1    1    3    1    1    3    3    1    3    3    3    3

   -2    0    1
    6    5    0.15989141E-01 -0.91875009E-03
    7    5   -0.53629720E-02  0.29734789E-02
    8    5    0.21484929E-01 -0.26573280E-02
    9    5   -0.26079825E-03 -0.37754164E-03
   10    5    0.13577251E-02  0.86054753E-03
   11    5   -0.25270443E-02 -0.54858395E-03
   12    5   -0.57087639E-03 -0.89409580E-03
   13    5    0.11861008E-02  0.21187074E-02
   14    5   -0.30121351E-02 -0.13944784E-02
   15    5    0.23506908E-02  0.26848147E-02
   16    5    0.29024576E-02 -0.66749801E-03
    1    6    0.34572588E-01 -0.11131680E-02
    2    6    0.16538394E+00 -0.22141178E-03
    3    6    0.35349937E-01  0.14520101E-02
    4    6   -0.12786751E+00 -0.93833988E-03
    5    6    0.23166352E-01  0.10538537E-02
    6    6   -0.16040721E-01  0.50232761E-03
    7    6   -0.81285306E-02  0.72475854E-03
    8    6    0.17665613E-01 -0.65334597E-03
    9    6   -0.32158627E-02 -0.14155485E-02
   10    6   -0.11261459E-02  0.67546911E-03
   11    6    0.38596434E-04  0.16835739E-03
   12    6    0.60307039E-03  0.57910550E-03
   13    6    0.24096747E-02  0.11696321E-02
   14    6    0.40878966E-03 -0.51228851E-03
   15    6    0.22699860E-02 -0.86192533E-03
   16    6   -0.68270333E-03  0.32960300E-03
    1    7    0.14525577E-01  0.34994451E-02
    2    7    0.14348704E+00 -0.27185109E-02
    3    7   -0.40215562E-01  0.84814214E-03
    4    7    0.14341505E+00  0.10683728E-02
    5    7   -0.13511264E-02 -0.36558705E-02
    6    7    0.27922219E-02 -0.48610010E-03
    7    7    0.63493093E-02 -0.11098373E-02
    8    7   -0.55425923E-03  0.17622347E-02
    9    7    0.17236963E-02 -0.10543547E-02
   10    7    0.54950995E-03 -0.19302533E-02
   11    7    0.47524619E-03 -0.85530367E-03
   12    7    0.16659675E-03  0.13704697E-02
   13    7   -0.32240886E-03 -0.88715583E-03
   14    7    0.11739299E-03 -0.13119103E-03
   15    7   -0.11935403E-02  0.29111344E-03
   16    7   -0.26510400E-02  0.24858675E-02
    1    8    0.34290990E-01 -0.19236192E-02
    2    8   -0.12806789E+00  0.23719766E-03
    3    8    0.33791204E-01  0.21492019E-02
    4    8    0.16420137E+00 -0.69102402E-03
    5    8    0.17812706E-01  0.35314593E-02
    6    8    0.21267394E-01  0.32677497E-03
    7    8   -0.65678072E-02 -0.17564080E-02
    8    8   -0.16400624E-01  0.44762974E-03
    9    8    0.20282400E-02  0.42621891E-02
   10    8   -0.30993527E-03 -0.96513755E-04
   11    8    0.16224286E-02 -0.38068693E-03
   12    8    0.10059364E-02  0.77102292E-03
   13    8   -0.13095691E-02  0.39859186E-03
   14    8    0.14843142E-02 -0.31269767E-03
   15    8   -0.23223829E-02 -0.34620939E-02
   16    8   -0.25229840E-02 -0.12020502E-02
    1    9    0.11845449E-02  0.65178936E-03
    2    9   -0.47215452E-04 -0.23342157E-02
    3    9   -0.36490373E-02  0.69138543E-04
    4    9    0.12065417E-02  0.32930863E-02
    5    9   -0.51145191E-03  0.89507538E-03
    6    9    0.46343323E-02  0.70285878E-03
    7    9   -0.19071132E-02 -0.31527810E-03
    8    9   -0.38717614E-02  0.15507889E-02
    9    9    0.13502170E-01 -0.45135944E-03
   10    9    0.10491524E-01 -0.28988279E-03
   11    9    0.76788346E-01 -0.28435426E-03
   12    9    0.76021714E-02  0.83214283E-03
   13    9   -0.35336893E-01  0.29898607E-03
