 written on  1Nov2023 at 16:06:55 
   3.5717025864237320        6.4991244369867793        6.4991244369867793     
   6.4991244369867793        3.5717025864237320        6.4991244369867793     
   6.4991244369867793        6.4991244369867793        3.5717025864237320     
          10
          37
    2    2    3    1    3    1    1    2    1    1    1    3    2    2    1
    1    2    1    1    1    2    1    1    2    2    3    1    1    1    2
    1    1    3    1    3    2    2

   -2    0    1
    4    7   -0.25550439E-08 -0.28181478E-01
    5    7    0.15137271E+00  0.14445055E-01
    6    7   -0.29595163E-09 -0.14445052E-01
    7    7    0.37914032E-01 -0.69936276E-02
    8    7   -0.74348265E-09  0.69936290E-02
    9    7   -0.17755573E+00 -0.39629967E-01
   10    7   -0.12552922E-08  0.39629967E-01
    1    8   -0.71845574E-09 -0.15771034E-01
    2    8    0.14858697E+00 -0.15771027E-01
    3    8    0.32660269E-08 -0.28181479E-01
    4    8   -0.25369141E-01 -0.28181480E-01
    5    8   -0.77257786E-09 -0.14445052E-01
    6    8    0.15137271E+00 -0.14445056E-01
    7    8   -0.13151925E-08  0.69936271E-02
    8    8    0.37914030E-01  0.69936277E-02
    9    8    0.10014670E-08  0.39629966E-01
   10    8   -0.17755573E+00  0.39629970E-01
    1    9    0.87417926E-01 -0.82044473E-02
    2    9    0.25996122E-08  0.82044487E-02
    3    9    0.19610083E+00  0.26695308E-01
    4    9   -0.23808575E-08 -0.26695307E-01
    5    9   -0.71222866E-01  0.38648526E-02
    6    9   -0.23620700E-08 -0.38648499E-02
    7    9   -0.24936652E-02 -0.54060180E-01
    8    9    0.19263721E-08  0.54060185E-01
    9    9    0.48637238E-01 -0.38990832E-01
   10    9    0.28063413E-08  0.38990832E-01
    1   10   -0.64821916E-08  0.82044478E-02
    2   10    0.87417926E-01  0.82044497E-02
    3   10    0.31885658E-08 -0.26695306E-01
    4   10    0.19610083E+00 -0.26695311E-01
    5   10   -0.53141853E-09 -0.38648498E-02
    6   10   -0.71222865E-01 -0.38648533E-02
    7   10   -0.22291594E-08  0.54060185E-01
    8   10   -0.24936633E-02  0.54060178E-01
    9   10   -0.43577670E-08  0.38990832E-01
   10   10    0.48637239E-01  0.38990832E-01

   -1   -1    1
    1    1   -0.63222379E-02 -0.66937963E-01
    2    1    0.38772317E-02 -0.27763373E-01
    3    1    0.10191994E-01  0.32399151E-02
    4    1    0.63008537E-01  0.17879334E-01
    5    1    0.62549625E-01 -0.56318834E-01
    6    1    0.82075280E-02 -0.11914604E-01
    7    1   -0.12236279E+00 -0.83494683E-01
    8    1    0.32220121E-01 -0.94905803E-01
    9    1   -0.73727096E-01 -0.24508323E-02
   10    1    0.82269405E-01 -0.91220908E-02
    1    2   -0.38772339E-02 -0.27763372E-01
    2    2   -0.63222362E-02  0.66937959E-01
    3    2   -0.63008535E-01  0.17879335E-01
    4    2    0.10191995E-01 -0.32399157E-02
    5    2   -0.82075285E-02 -0.11914605E-01
    6    2    0.62549626E-01  0.56318836E-01
    7    2   -0.32220121E-01 -0.94905803E-01
    8    2   -0.12236278E+00  0.83494686E-01
    9    2   -0.82269408E-01 -0.91220898E-02
   10    2   -0.73727097E-01  0.24508351E-02
    1    3   -0.12271862E+00  0.72684720E-01
    2    3    0.76891346E-02  0.59240394E-01
    3    3   -0.31142589E-01  0.25770501E-01
    4    3    0.53847031E-01  0.88786761E-02
    5    3    0.59719031E-01  0.14231450E+00
    6    3   -0.23942665E-01  0.46179285E-01
    7    3    0.37492742E-01 -0.96484532E-02
    8    3   -0.30534935E-01  0.19421786E-02
    9    3    0.54979037E-01  0.50643354E-01
   10    3   -0.30222021E-01 -0.31861358E-01
    1    4   -0.76891379E-02  0.59240393E-01
    2    4   -0.12271861E+00 -0.72684721E-01
    3    4   -0.53847032E-01  0.88786742E-02
    4    4   -0.31142588E-01 -0.25770502E-01
    5    4    0.23942666E-01  0.46179287E-01
    6    4    0.59719031E-01 -0.14231450E+00
    7    4    0.30534934E-01  0.19421784E-02
    8    4    0.37492744E-01  0.96484540E-02
    9    4    0.30222021E-01 -0.31861357E-01
   10    4    0.54979038E-01 -0.50643350E-01
    1    5   -0.40911348E-01 -0.33579206E-01
    2    5   -0.15694339E-01 -0.48653039E-01
    3    5    0.27971154E-01 -0.30412838E-01
    4    5    0.15476694E-01  0.73963505E-02
    5    5    0.22601419E-01 -0.24162623E-01
    6    5    0.34076002E-02 -0.26734669E-01
    7    5    0.21929779E+00  0.23763689E-02
    8    5    0.87417058E-02  0.26506002E-01
    9    5   -0.84033521E-01  0.73589877E-02
   10    5    0.18891737E-02 -0.46465460E-02
    1    6    0.15694340E-01 -0.48653039E-01
